target,model,model_type,stopping_condition,hyperparameter_optimization,main_hyperparameters,test_result_main,comment
daily_orders,Naive Forecast,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Naive Forecast,"MAE=3.5304, RMSE=4.4487, NMAE=0.4418, R2=-1.2875",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_orders,Seasonal Naive 7 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Seasonal Naive 7 days,"MAE=3.6870, RMSE=4.5263, NMAE=0.4614, R2=-1.3679",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_orders,Moving Average 7 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Moving Average 7 days,"MAE=2.6286, RMSE=3.2737, NMAE=0.3289, R2=-0.2387",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_orders,Moving Average 14 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Moving Average 14 days,"MAE=2.5478, RMSE=3.1232, NMAE=0.3188, R2=-0.1274",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_orders,Moving Average 28 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Moving Average 28 days,"MAE=2.4335, RMSE=3.0328, NMAE=0.3045, R2=-0.0631",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_orders,Ridge Regression Tuned,Tuned regression model,Dừng khi nghiệm tối ưu của hàm mất mát có điều chuẩn L2 được tìm thấy.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.",{'model__alpha': np.float64(621.0169418915616)},"MAE=2.4641, RMSE=3.0147, NMAE=0.3083, R2=-0.0504","Mô hình hồi quy tuyến tính có điều chuẩn L2, giúp giảm độ lớn hệ số và hạn chế overfitting."
daily_orders,Lasso Regression Tuned,Tuned regression model,Dừng khi nghiệm hội tụ hoặc đạt số vòng lặp tối đa.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.",{'model__alpha': np.float64(4.52035365636025)},"MAE=2.4384, RMSE=2.9768, NMAE=0.3051, R2=-0.0242","Mô hình hồi quy tuyến tính có điều chuẩn L1, có khả năng co một số hệ số về 0."
daily_orders,Random Forest Regressor Tuned,Tuned regression model,Dừng khi xây đủ số lượng cây được chọn trong quá trình tối ưu siêu tham số.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}","MAE=2.4481, RMSE=2.9991, NMAE=0.3063, R2=-0.0396","Mô hình ensemble nhiều cây, có khả năng học quan hệ phi tuyến và tương tác giữa đặc trưng."
daily_orders,Extra Trees Regressor Tuned,Tuned regression model,Dừng khi xây đủ số lượng cây trong ensemble.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}","MAE=2.4435, RMSE=2.9839, NMAE=0.3058, R2=-0.0291","Mô hình ensemble nhiều cây với mức ngẫu nhiên cao hơn, có thể giảm phương sai."
daily_orders,Gradient Boosting Regressor Tuned,Tuned regression model,Dừng khi hoàn thành số vòng boosting được chọn.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__min_samples_leaf': 3, 'model__max_depth': 2, 'model__learning_rate': 0.01}","MAE=2.8571, RMSE=3.4480, NMAE=0.3575, R2=-0.3741","Mô hình boosting tuần tự, mỗi cây sau tập trung sửa lỗi của các cây trước."
daily_orders,HistGradientBoosting Regressor Tuned,Tuned regression model,Dừng khi đạt số vòng lặp tối đa hoặc điều kiện hội tụ nội bộ của thuật toán.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 100, 'model__learning_rate': 0.01, 'model__l2_regularization': 1.0}","MAE=2.4505, RMSE=3.0318, NMAE=0.3067, R2=-0.0624","Mô hình boosting dựa trên histogram, phù hợp với dữ liệu bảng và có tốc độ huấn luyện tốt."
